law360_firm_id,law360_firm_name,intel_firm_id_RO_2021,intel_firm_name_RO_2021,intel_firm_id_RO_2022,intel_firm_name_RO_2022,Offering Volume,Last Offerings Count,dupe_RO,qualify_RO,notes_RO,combine_RO
,,,,242844,Maples and Calder (Singapore) LLP,"$550,020,000.00",2,international,0,Less than 50 attys in US,
,,,,241698,Gowling WLG,"$500,000,000.00",1,international,0,Less than 50 attys in US,
,,,,242887,Goodwin Proctor (UK) LLP,"$330,000,000.00",1,international,0,duplicated with Goodwin Procter (UK),
,,,,240750,DLA Piper (Canada) LLP,"$198,145,359.00",12,international,,combine with DLA Piper,DLA8531
,,,,209643,NautaDutilh N.V. Amsterdam,"$120,000,000.00",2,international,0,Less than 50 attys in US,
,,,,242390,Orrick (UK) LLP,"$77,249,998.00",3,international,,combine with Orrick,ORR3556
,,,,241786,Orrick Europe,"$13,914,785.00",1,international,,combine with Orrick,ORR3556
,,,,233528,Troutman Sanders,"$3,467,716,768.00",20,merged,,merged with Troutman ,TRO5042
,,,,233506,Pepper Hamilton,"$3,235,016,499.00",24,merged,,merged with Troutman ,TRO5042
,Schiff Hardin,233804,Schiff Hardin,233804,Schiff Hardin,"$1,913,948,559.00",42,merged,,merged with arent fox,ARE7461
,,,,242443,Dentons Bingham Greenebaum,"$425,324,618.00",7,merged,,combine with dentons,DEN8962
,,,,240998,Satterlee Stephens LLP,"$225,020,025.00",2,merged,,merged with duane morris,DUA7765
,,,,234414,Rogers & Hardin,"$110,000,000.00",1,merged,,merged with smith gambrell,SMI5228
,,,,234169,Durham Jones & Pinegar,"$99,999,987.00",6,merged,,merged with Dentons,DEN8962
,Thompson & Knight LLP,233524,Thompson & Knight,233524,Thompson & Knight,"$93,437,500.00",12,merged,,merged with Holland and Knight,HOL8724
BIN6230,,,,234083,Bingham Greenebaum Doll,"$40,500,000.00",1,merged,,combine with dentons,DEN8962
ROB2881,,,,211674,Robinson Brog Leinwand Greene Genovese & Gluck,"$40,030,248.00",7,merged,,combine with Leech Tishman,LEE6006
,,,,233499,In-House,"$240,070,495,836.00",505,,,,
SKA5809,Skadden,233516,"Skadden, Arps, Slate, Meagher & Flom",233516,"Skadden, Arps, Slate, Meagher & Flom","$196,471,931,629.00",369,,,,
KIR1429,Kirkland,233493,Kirkland & Ellis,233493,Kirkland & Ellis,"$178,390,490,379.00",350,,,,
VEN9219,Venable,233492,Venable,233492,Venable,"$173,457,529,239.00",373,,,,
LAT5090,Latham,233503,Latham & Watkins,233503,Latham & Watkins,"$170,441,722,518.00",664,,,,
GIB4549,Gibson Dunn,233508,"Gibson, Dunn & Crutcher",233508,"Gibson, Dunn & Crutcher","$162,305,295,297.00",278,,,,
DAV2937,Davis Polk,233494,Davis Polk & Wardwell,233494,Davis Polk & Wardwell,"$152,505,475,130.00",283,,,,
SIM9580,Simpson Thacher,240177,Simpson Thacher & Bartlett,240177,Simpson Thacher & Bartlett,"$125,543,228,000.00",172,,,,
FRI3491,Fried Frank,233562,"Fried, Frank, Harris, Shriver & Jacobson",233562,"Fried, Frank, Harris, Shriver & Jacobson","$97,517,895,311.00",61,,,,
HUN4123,Hunton Andrews Kurth,241837,Hunton Andrews Kurth L.L.P,241837,Hunton Andrews Kurth L.L.P,"$87,186,963,492.00",148,,,,
SUL2314,Sullivan & Cromwell,233576,Sullivan & Cromwell,233576,Sullivan & Cromwell,"$82,924,046,650.00",127,,,,
ALS9443,Alston & Bird,233649,Alston & Bird,233649,Alston & Bird,"$78,478,110,233.00",83,,,,
CLE6909,Cleary,200977,"Cleary, Gottlieb, Steen & Hamilton",200977,"Cleary, Gottlieb, Steen & Hamilton","$72,643,834,255.00",93,,,,
COO1982,Cooley,233534,Cooley,233534,Cooley,"$58,286,834,456.00",545,,,,
GOO1738,Goodwin,233616,Goodwin Procter,233616,Goodwin Procter,"$57,022,251,833.00",391,,,,
SID2808,Sidley,233517,Sidley Austin,233517,Sidley Austin,"$54,151,429,206.00",191,,,,
WAC3922,Wachtell,233512,"Wachtell, Lipton, Rosen & Katz",233512,"Wachtell, Lipton, Rosen & Katz","$50,714,508,824.00",56,,,,
POL2609,Polsinelli,233714,Polsinelli,233714,Polsinelli,"$50,190,143,997.00",27,,,,
MCL7922,,,,242634,McLane Middleton Professional Association,"$49,550,000,000.00",6,,,,
HOG2532,Hogan Lovells,204967,Hogan Lovells,204967,Hogan Lovells,"$46,117,231,979.00",184,,,,
MAB2454,Mayer Brown,233495,Mayer Brown,233495,Mayer Brown,"$42,973,651,731.00",84,,,,
MOR2268,Morrison Foerster,209334,Morrison & Foerster,209334,Morrison & Foerster,"$42,230,348,574.00",90,,,,
JON3485,Jones Day,206342,Jones Day,206342,Jones Day,"$39,470,984,278.00",121,,,,
RIC1321,Richards Layton,211426,"Richards, Layton & Finger",211426,"Richards, Layton & Finger","$38,232,850,279.00",77,,,,
CRA6235,Cravath,233560,"Cravath, Swaine & Moore",233560,"Cravath, Swaine & Moore","$37,887,040,268.00",62,,,,
MOR8926,Morgan Lewis,209274,"Morgan, Lewis & Bockius",209274,"Morgan, Lewis & Bockius","$37,037,313,771.00",179,,,,
SHE2026,Shearman,212470,Shearman & Sterling,212470,Shearman & Sterling,"$36,097,352,874.00",83,,,,
FAE5613,Faegre Drinker,242401,Faegre Drinker Biddle & Reath LLP,242401,Faegre Drinker Biddle & Reath LLP,"$35,184,739,809.00",75,,,,
TRO5042,Troutman Pepper,242534,Troutman Pepper Hamilton Sanders LLP,242534,Troutman Pepper Hamilton Sanders LLP,"$31,571,744,256.00",148,,,,
ROP8711,Ropes & Gray,233724,Ropes & Gray,233724,Ropes & Gray,"$29,096,298,853.00",148,,,,
WIL6949,WilmerHale,233537,WilmerHale,233537,WilmerHale,"$28,709,588,364.00",177,,,,
MCG4933,McGuireWoods,233582,McGuireWoods,233582,McGuireWoods,"$27,162,658,553.00",66,,,,
WEI2027,Weil,233547,"Weil, Gotshal & Manges",233547,"Weil, Gotshal & Manges","$26,340,988,409.00",91,,,,
ARN6021,Arnold & Porter,241024,Arnold & Porter Kaye Scholer LLP,241024,Arnold & Porter Kaye Scholer LLP,"$25,926,475,948.00",36,,,,
BAL3730,Ballard Spahr,233572,Ballard Spahr,233572,Ballard Spahr,"$23,922,453,036.00",127,,,,
DLA8531,DLA Piper,233496,DLA Piper,233496,DLA Piper,"$23,783,386,872.00",132,,,,
GRE1872,Greenberg Traurig,233519,Greenberg Traurig,233519,Greenberg Traurig,"$23,010,163,138.00",158,,,,
,,,,202988,Fangda Partners,"$22,943,466,159.00",11,,,,
,,,,240395,General Counsel of PetrÃ³leos Mexicanos,"$22,447,666,000.00",3,,,,
VIN6290,Vinson & Elkins,238795,Vinson & Elkins,238795,Vinson & Elkins,"$22,219,033,072.00",204,,,,
PAU8288,Paul Weiss,233549,"Paul, Weiss, Rifkind, Wharton & Garrison",233549,"Paul, Weiss, Rifkind, Wharton & Garrison","$22,047,154,448.00",108,,,,
FEN1041,Fenwick,233849,Fenwick & West,233849,Fenwick & West,"$21,971,716,652.00",119,,,,
WOM8006,Womble Bond,241747,Womble Bond Dickinson,241747,Womble Bond Dickinson,"$21,576,800,001.00",29,,,,
KIN6975,King & Spalding,233961,King & Spalding,233961,King & Spalding,"$21,443,180,640.00",39,,,,
WHI8202,White & Case,233604,White & Case,233604,White & Case,"$20,822,635,538.00",115,,,,
HOL5405,Holland & Hart,233532,Holland & Hart,233532,Holland & Hart,"$19,988,884,846.00",15,,,,
EVE8601,Eversheds Sutherland,241764,Eversheds Sutherland (US) LLP,241764,Eversheds Sutherland (US) LLP,"$19,810,415,502.00",74,,,,
WIL9164,Wilson Sonsini,215305,Wilson Sonsini Goodrich & Rosati,215305,Wilson Sonsini Goodrich & Rosati,"$19,138,493,515.00",238,,,,
PER7986,Perkins Coie,233865,Perkins Coie,233865,Perkins Coie,"$18,461,476,984.00",70,,,,
SQU8792,Squire Patton Boggs,213003,Squire Patton Boggs,213003,Squire Patton Boggs,"$17,954,400,000.00",41,,,,
LIN8596,,,,233612,Linklaters,"$17,557,552,573.00",24,,,,
WIL9392,Willkie,233813,Willkie Farr & Gallagher,233813,Willkie Farr & Gallagher,"$17,425,108,910.00",73,,,,
,,,,233539,Conyers Dill & Pearman,"$17,214,965,214.00",124,,,,
,,,,233571,Walkers,"$17,140,415,357.00",98,,,,
MUN2899,Munger Tolles,234157,"Munger, Tolles & Olson",234157,"Munger, Tolles & Olson","$16,011,048,000.00",12,,,,
,,,,233844,Han Kun Law Offices,"$15,264,242,394.00",39,,,,
MIL6748,Milbank,242106,Milbank LLP,242106,Milbank LLP,"$14,927,850,001.00",25,,,,
PRO6020,Proskauer,233648,Proskauer Rose,233648,Proskauer Rose,"$14,740,762,093.00",67,,,,
DEH3364,Dechert,233598,Dechert,233598,Dechert,"$14,271,455,241.00",87,,,,
MOO4584,Moore & Van Allen,233726,Moore & Van Allen,233726,Moore & Van Allen,"$13,850,000,000.00",8,,,,
BAK9080,Baker Botts,233500,Baker Botts,233500,Baker Botts,"$13,652,261,813.00",58,,,,
,,,,201982,De Brauw Blackstone Westbroek,"$13,440,000,002.00",12,,,,
AKI5112,Akin Gump,198344,Akin Gump Strauss Hauer & Feld,198344,Akin Gump Strauss Hauer & Feld,"$12,949,712,719.00",37,,,,
KIN8566,,,,233620,King & Wood Mallesons,"$12,547,781,547.00",23,,,,
SUL2064,Sullivan & Worcester,233805,Sullivan & Worcester,233805,Sullivan & Worcester,"$12,527,309,282.00",115,,,,
FRE1113,,,,203483,Freshfields Bruckhaus Deringer,"$12,388,979,964.00",36,,,,
ALL2087,,,,198451,Allen & Overy,"$12,194,292,330.00",20,,,,
HOL8724,Holland & Knight,233594,Holland & Knight,233594,Holland & Knight,"$11,410,901,951.00",53,,,thompson and knight merged with Holland,
HON6747,Honigman,234205,Honigman Miller Schwartz and Cohn,234205,Honigman Miller Schwartz and Cohn,"$11,312,680,997.00",40,,,,
COV3180,Covington,233955,Covington & Burling,233955,Covington & Burling,"$10,653,141,255.00",60,,,,
OMM7760,O'Melveny,233538,O'Melveny & Myers,233538,O'Melveny & Myers,"$10,609,374,383.00",57,,,,
KLG5568,K&L Gates,233614,K&L Gates,233614,K&L Gates,"$10,531,646,986.00",103,,,,
BLA9488,,,,199642,"Blake, Cassels & Graydon","$9,840,541,056.00",48,,,,
CLI3554,,,,201001,Clifford Chance,"$9,777,589,523.00",55,,,,
,,,,198256,Addisons,"$9,750,000,000.00",2,,,,
,,,,238147,Ogier,"$9,674,541,827.00",89,,,,
WIN8608,Winston & Strawn,233650,Winston & Strawn,233650,Winston & Strawn,"$9,364,123,593.00",82,,,,
DEB3000,Debevoise,233643,Debevoise & Plimpton,233643,Debevoise & Plimpton,"$9,318,468,026.00",38,,,,
FEN1877,Fennemore Craig,203053,Fennemore Craig,203053,Fennemore Craig,"$9,289,431,150.00",23,,,,
BAK4926,Baker Donelson,199148,"Baker, Donelson, Bearman, Caldwell & Berkowitz",199148,"Baker, Donelson, Bearman, Caldwell & Berkowitz","$9,239,671,250.00",20,,,,
FOL2461,Foley & Lardner,233515,Foley & Lardner,233515,Foley & Lardner,"$8,891,502,348.00",79,,,,
LOC6957,Locke Lord,233923,Locke Lord Bissell & Liddell,233923,Locke Lord Bissell & Liddell,"$8,494,327,503.00",26,,,,
PIL4685,Pillsbury,233550,Pillsbury Winthrop Shaw Pittman,233550,Pillsbury Winthrop Shaw Pittman,"$8,331,430,000.00",86,,,,
,,,,207455,Lee and Li,"$8,000,000,000.00",2,,,,
,,,,241022,Legal Department of KfW,"$8,000,000,000.00",2,,,,
NEL6571,Nelson Mullins,233684,Nelson Mullins Riley & Scarborough,233684,Nelson Mullins Riley & Scarborough,"$7,907,912,091.00",57,,,,
BAK1239,Baker McKenzie,233814,Baker & McKenzie,233814,Baker & McKenzie,"$7,786,197,948.00",60,,,,
,,,,233737,A&L Goodbody,"$7,706,215,261.00",21,,,,
BRA9882,Bracewell,240754,Bracewell LLP,240754,Bracewell LLP,"$7,501,739,138.00",11,,,,
CAD5402,Cadwalader,233558,"Cadwalader, Wickersham & Taft",233558,"Cadwalader, Wickersham & Taft","$7,013,524,000.00",32,,,,
,,,,234303,Loyens & Loeff,"$6,949,500,000.00",9,,,,
KUT7771,Kutak Rock,233807,Kutak Rock,233807,Kutak Rock,"$6,862,984,951.00",14,,,,
BRY4196,Bryan Cave Leighton Paisner,241838,Bryan Cave Leighton Paisner LLP,241838,Bryan Cave Leighton Paisner LLP,"$6,768,598,377.00",30,,,,
,,,,242428,S.Ã ,"$6,451,612,903.00",3,,,,
,,,,233808,"Harney, Westwood & Riegels","$6,331,477,088.00",37,,,,
KAT3207,Katten,233625,Katten Muchin Rosenman,233625,Katten Muchin Rosenman,"$6,187,320,007.00",21,,,,
PAU7660,Paul Hastings,233530,Paul Hastings,233530,Paul Hastings,"$5,911,255,881.00",69,,,,
,,,,234395,Anderson Mori & Tomotsune,"$5,900,000,000.00",3,,,,
,,,,208412,Matheson,"$5,850,000,000.00",11,,,,
LOE6696,Loeb & Loeb,233596,Loeb & Loeb,233596,Loeb & Loeb,"$5,773,481,487.00",125,,,,
GRA3147,,,,204222,Graubard Miller,"$5,686,957,414.00",61,,,,
,,,,215570,Zhong Lun Law Firm,"$5,639,938,886.00",12,,,,
BRO4730,Brownstein Hyatt,233666,Brownstein Hyatt Farber Schreck,233666,Brownstein Hyatt Farber Schreck,"$5,502,919,932.00",37,,,,
,,,,214457,Van Doorne,"$5,399,999,980.00",3,,,,
SLA5211,,,,212798,Slaughter & May,"$5,300,000,000.00",9,,,,
DEN8962,Dentons,202118,Dentons,202118,Dentons,"$5,077,106,888.00",64,,,,
,,,,210887,Procurador de la AdministraciÃ³n of Panama,"$5,000,000,000.00",2,,,,
,,,,243123,Tulchinsky Marciano Cohen Levitski & Co,"$5,000,000,000.00",1,,,,
,,,,236390,Appleby,"$4,993,909,091.00",47,,,,
GAB1672,GableGotwals,234458,Gable & Gotwals,234458,Gable & Gotwals,"$4,980,592,750.00",10,,,,
,,,,241762,CMS Cameron McKenna Nabarro Olswang LLP,"$4,748,738,703.00",7,,,,
,,,,200419,Carey Olsen,"$4,698,757,896.00",19,,0,less than 50 attys in US,
,,,,235470,Kim & Chang,"$4,663,688,000.00",3,,,,
,,,,233928,Campbells,"$4,663,476,605.00",46,,,,
JAF3034,Jaffe Raitt,205559,"Jaffe, Raitt, Heuer & Weiss",205559,"Jaffe, Raitt, Heuer & Weiss","$4,590,075,403.00",8,,,,
GUN3166,Gunderson Dettmer,234217,Gunderson Dettmer Stough Villeneuve Franklin & Hachigian,234217,Gunderson Dettmer Stough Villeneuve Franklin & Hachigian,"$4,547,316,414.00",43,,,,
,,,,240623,Nishimura & Asahi,"$4,500,000,000.00",3,,,,
DOR5542,Dorsey & Whitney,233592,Dorsey & Whitney,233592,Dorsey & Whitney,"$4,498,062,378.00",129,,,,
ORR3556,Orrick,233661,"Orrick, Herrington & Sutcliffe",233661,"Orrick, Herrington & Sutcliffe","$4,490,580,073.00",66,,,,
,,,,199256,"Barbosa, MÃ¼ssnich & AragÃ£o Advogados","$4,464,584,316.00",6,,,,
FOL7287,Foley Hoag,233932,Foley Hoag,233932,Foley Hoag,"$4,388,251,359.00",17,,,,
,,,,233806,Ledgewood,"$4,318,000,000.00",22,,,,
MIN4022,Mintz,209163,Mintz Levin Cohen Ferris Glovsky and Popeo,209163,Mintz Levin Cohen Ferris Glovsky and Popeo,"$4,301,555,409.00",134,,,,
,,,,240628,UrÃ­a MenÃ©ndez,"$4,300,000,000.00",2,,,,
,,,,235178,Mori Hamada & Matsumoto,"$4,250,000,000.00",2,,,,
,,,,199458,Bennett Jones,"$4,159,989,700.00",23,,,,
BAL2806,,,,233628,Balch & Bingham,"$4,125,000,000.00",8,,,,
,,,,234245,Nagashima Ohno & Tsunematsu,"$4,000,000,000.00",5,,,,
THO1800,Thompson Hine,233564,Thompson Hine,233564,Thompson Hine,"$3,823,224,035.00",27,,,,
MAT6567,,,,208447,"Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga Advogados","$3,819,132,438.00",13,,,,
MOR4976,Morris Nichols,209328,"Morris, Nichols, Arsht & Tunnell",209328,"Morris, Nichols, Arsht & Tunnell","$3,633,791,585.00",17,,,,
,,,,210689,Pinheiro Neto Advogados,"$3,576,728,933.00",7,,,,
,,,,242398,Meitar Law Offices,"$3,510,621,276.00",40,,,,
,,,,199095,"Bae, Kim & Lee","$3,500,000,000.00",3,,,,
,,,,215511,Yoon & Yang,"$3,500,000,000.00",2,,,,
GRE2781,,,,204264,"Greenbaum, Rowe, Smith & Davis","$3,454,289,000.00",4,,,,
GLO1459,,,,234389,Global Law Office,"$3,396,005,531.00",9,,,,
,,,,234111,Haiwen & Partners,"$3,344,100,000.00",5,,,,
,,,,205012,Homburger,"$3,339,005,255.00",30,,,,
BAR7190,Barnes & Thornburg,233722,Barnes & Thornburg,233722,Barnes & Thornburg,"$3,312,339,131.00",16,,,,
WAT6717,,,,214838,"Watson, Farley & Williams","$3,291,404,660.00",35,,,,
SEW3885,Seward & Kissel,233655,Seward & Kissel,233655,Seward & Kissel,"$3,241,058,575.00",76,,,,
,,,,239908,Arthur Cox,"$3,150,022,500.00",13,,,,
NOR7957,Norton Rose Fulbright,234992,Norton Rose Fulbright,234992,Norton Rose Fulbright,"$3,094,611,870.00",41,,,,
,,,,209381,Mourant Ozannes,"$3,022,498,245.00",17,,,,
DAV6971,Davis Wright Tremaine,234160,Davis Wright Tremaine,234160,Davis Wright Tremaine,"$3,010,627,546.00",11,,,,
REE5164,Reed Smith,233591,Reed Smith,233591,Reed Smith,"$2,929,058,098.00",64,,,,
,,,,203928,Gilbert & Tobin,"$2,856,875,991.00",5,,,,
YOU1231,Young Conaway,215525,Young Conaway Stargatt & Taylor,215525,Young Conaway Stargatt & Taylor,"$2,778,115,000.00",4,,,,
,,,,208532,McCann FitzGerald,"$2,750,000,000.00",3,,,,
,,,,206502,Jun He Law,"$2,665,697,112.00",24,,,,
HAY5217,Haynes and Boone,233619,Haynes and Boone,233619,Haynes and Boone,"$2,658,584,327.00",76,,,,
SHI9777,Shipman & Goodwin,212542,Shipman & Goodwin,212542,Shipman & Goodwin,"$2,650,000,000.00",2,,,,
STR6991,Stradley Ronon,213339,"Stradley, Ronon, Stevens & Young",213339,"Stradley, Ronon, Stevens & Young","$2,543,957,175.00",17,,,,
JON3152,Jones Walker,206373,Jones Walker,206373,Jones Walker,"$2,540,952,752.00",17,,,,
,,,,213593,Tapia Linares y Alfaro,"$2,531,599,764.00",4,,,,
,,,,243155,Fluet & Associates PLLC,"$2,500,000,000.00",1,,,,
PHI7031,Phillips Lytle,210637,Phillips Lytle,210637,Phillips Lytle,"$2,449,000,000.00",4,,,,
VOR5310,Vorys,233715,"Vorys, Sater, Seymour and Pease",233715,"Vorys, Sater, Seymour and Pease","$2,416,125,438.00",12,,,,
OLS8852,,,,234367,Olshan Frome Wolosky,"$2,370,078,825.00",47,,,,
OSL3973,,,,210108,"Osler, Hoskin & Harcourt","$2,338,565,381.00",25,,,,
MAC3849,,,,208501,"Maynard, Cooper & Gale","$2,300,000,000.00",2,,,,
,,,,200251,Bar & Karrer AG,"$2,280,806,214.00",5,,,,
JEN6539,Jenner & Block,233774,Jenner & Block,233774,Jenner & Block,"$2,250,814,928.00",11,,,,
STI3359,Stites & Harbison,234368,Stites & Harbison,234368,Stites & Harbison,"$2,250,000,000.00",2,,,,
,,,,242034,CM Law Firm,"$2,201,000,000.00",4,,,,
CHA4487,Chapman and Cutler,233584,Chapman and Cutler,233584,Chapman and Cutler,"$2,188,430,000.00",7,,,,
,,,,233501,Jingtian & Gongcheng,"$2,150,582,019.00",22,,,,
TOR9260,,,,233659,Torys,"$2,142,330,938.00",36,,,,
DIC1953,Dickinson Wright,234035,Dickinson Wright,234035,Dickinson Wright,"$2,092,923,322.00",9,,,,
STI9829,,,,233912,Stikeman Elliott,"$2,069,797,218.00",28,,,,
SMI8645,Smith Anderson,233523,"Smith, Anderson, Blount, Dorsett, Mitchell & Jernigan",233523,"Smith, Anderson, Blount, Dorsett, Mitchell & Jernigan","$2,065,720,433.00",13,,,,
LOW6235,Lowenstein Sandler,233580,Lowenstein Sandler,233580,Lowenstein Sandler,"$2,032,474,126.00",90,,,,
TAF9792,Taft,234128,Taft Stettinius & Hollister,234128,Taft Stettinius & Hollister,"$2,027,500,000.00",11,,,,
BAK2781,BakerHostetler,233824,Baker & Hostetler,233824,Baker & Hostetler,"$2,026,696,192.00",25,,,,
GRA5326,,,,204246,Graydon Head & Ritchey,"$2,000,000,000.00",2,,,,
,,,,209205,Mitsui Company,"$2,000,000,000.00",3,,,,
WAL1545,,,,233920,Waller Lansden Dortch & Davis,"$1,926,740,000.00",11,,,,
DUA7765,Duane Morris,233727,Duane Morris,233727,Duane Morris,"$1,848,753,412.00",55,,,,
DAV3925,Davis Graham,233705,"Davis, Graham & Stubbs",233705,"Davis, Graham & Stubbs","$1,846,006,726.00",35,,,,
HIN6183,,,,204915,"Hinckley, Allen & Snyder","$1,799,997,000.00",4,,,,
ICE9893,Ice Miller,233842,Ice Miller,233842,Ice Miller,"$1,777,036,003.00",2,,,,
,,,,233861,Barrett & McNagny,"$1,750,000,000.00",3,,,,
,,,,205458,J&A Garrigues SLP,"$1,750,000,000.00",1,,,,
,,,,235062,Tian Yuan Law Firm,"$1,742,697,742.00",20,,,,
WIL1765,Williams Mullen,215242,Williams Mullen,215242,Williams Mullen,"$1,730,000,000.00",9,,,,
KIL2517,Kilpatrick,234077,Kilpatrick Townsend & Stockton,234077,Kilpatrick Townsend & Stockton,"$1,646,500,000.00",7,,,,
SHE2206,Sheppard Mullin,212504,"Sheppard, Mullin, Richter & Hampton",212504,"Sheppard, Mullin, Richter & Hampton","$1,613,919,349.00",112,,,,
MIL3104,Miles & Stockbridge,209084,Miles & Stockbridge,209084,Miles & Stockbridge,"$1,601,600,458.00",19,,,,
,,,,203095,Fikso Kretschmer Smith Dixon Ormseth,"$1,550,000,000.00",2,,,,
KEA1720,,,,206680,Kean Miller,"$1,550,000,000.00",2,,,,
CAH7780,Cahill Gordon,233587,Cahill Gordon & Reindel,233587,Cahill Gordon & Reindel,"$1,513,539,500.00",6,,,,
,,,,234589,McMillan,"$1,475,809,495.00",28,,,,
STI7341,Stinson,242161,Stinson LLP,242161,Stinson LLP,"$1,457,811,226.00",13,,,,
,,,,214238,Travers Thorp Alberga,"$1,437,050,009.00",27,,,,
,,,,242075,Anthony L.G.,"$1,408,650,000.00",26,,,,
HUN7011,,,,240921,Hunter Taubman Fischer & Li LLC,"$1,347,709,546.00",78,,,,
,,,,241712,Pinheiro GuimarÃ£es,"$1,308,224,798.00",2,,,,
,,,,242283,NBD Group,"$1,305,456,201.00",10,,,,
,,,,201120,Commerce & Finance Law Offices,"$1,288,612,683.00",15,,,,
MCC5985,,,,208542,McCarthy Tetrault,"$1,271,550,352.00",28,,,,
,,,,233561,Reeder & Simpson,"$1,262,000,000.00",25,,,,
,,,,198771,Antis Triantafyllides & Sons,"$1,257,750,000.00",5,,,,
,,,,204466,Gutierrez Bergman Boulris,"$1,223,816,747.00",5,,,,
AKE5064,Akerman,198334,Akerman Senterfitt,198334,Akerman Senterfitt,"$1,215,349,300.00",20,,,,
,,,,212064,Sangra Moller,"$1,215,000,000.00",8,,,,
,,,,239501,Whalen,"$1,205,180,948.00",6,,,,
,,,,207451,Lee & Ko,"$1,200,000,000.00",3,,,,
SNE5955,Snell & Wilmer,234143,Snell & Wilmer,234143,Snell & Wilmer,"$1,176,354,380.00",46,,,,
,,,,240543,"Shapiro, Sher, Guinot & Sandler","$1,151,334,220.00",6,,,,
MCD8303,,,,241340,McDonald Carano LLP,"$1,146,000,000.00",13,,,,
,,,,215420,Woodburn and Wedge,"$1,133,530,000.00",10,,,,
,,,,207916,Luse Gorman Pomerenk & Schick,"$1,130,199,897.00",38,,,,
,,,,203232,Fladgate,"$1,125,000,000.00",1,,,,
ARM1143,Armstrong Teasdale,234916,Armstrong Teasdale,234916,Armstrong Teasdale,"$1,100,000,000.00",3,,,,
CAL7789,,,,234158,"Calfee, Halter & Griswold","$1,100,000,000.00",3,,,,
,,,,214512,Veirano Advogados,"$1,100,000,000.00",1,,,,
,,,,241990,Carey Olsen (Guernsey) LLP,"$1,070,500,000.00",9,,0,less than 50 attys in US,
