firm_id,Short Form Origin Match Law Firm Name,Law Firm Full Name,Law Firm Graphics Name,Law360 Index Name,Law360 Surveys Dropdown Name,yoda_id,yoda_guid,yoda_url,Law360 Salesdesk ID,Law Firm Status,Notes,NonUS,NonUS Firm Send Survey,total_attorneys,attorneys_method,surveys_dropdown,ENTITY TYPE
GOO8544,Goodman Derrick,Goodman Derrick LLP,Goodman Derrick,Goodman Derrick,Goodman Derrick,21713269,urn:entity:lfm-21713269,https://yoda.lexisai.aws.lexis.com/lawfirms/21713269,57e58b43762d5741a3040bb8,CURRENT,UK. Merging May 2022 with Royds Withy King to become RWK Goodman LLP.,YES,NO,,,,
HER7016,Herbert Smith Freehills,Herbert Smith Freehills LLP,Herbert Smith,Herbert Smith Freehills,Herbert Smith Freehills,423336,urn:entity:lfm-423336,https://yoda.lexisai.aws.lexis.com/lawfirms/423336,50059434485d2f1a2c00a6b3,CURRENT,UK/Australian Firm,YES,NO,,,Include,
ABR5654,Abrams Fensterman,Abrams Fensterman Fensterman Eisman Formato Ferrara Wolf & Carone LLP,Abrams Fensterman,Abrams Fensterman,Abrams Fensterman,2156323,urn:entity:lfm-2156323,https://yoda.lexisai.aws.lexis.com/lawfirms/2156323,5255baffb0b7b659790002d3,CURRENT,,,,,,Include,
ADA9558,Adams and Reese,Adams and Reese LLP,Adams and Reese,Adams & Reese,Adams & Reese,28706,urn:entity:lfm-28706,https://yoda.lexisai.aws.lexis.com/lawfirms/28706,4c52dd56cc956f21c40014c1,CURRENT,,,,,,Include,
ADE8409,Testan,Testan Law,Testan Law,Testan Law,Testan Law,2538355,urn:entity:lfm-2538355,https://yoda.lexisai.aws.lexis.com/lawfirms/2538355,4c52dd56cc956f21c40014cc,CURRENT,,,,,,Include,
AHM1531,Ahmuty Demers,Ahmuty Demers and McManus,Ahmuty Demers,Ahmuty Demers,Ahmuty Demers,328380,urn:entity:lfm-328380,https://yoda.lexisai.aws.lexis.com/lawfirms/328380,4c52dd56cc956f21c40014d8,CURRENT,,,,,,Include,
AKE5064,Akerman,Akerman LLP,Akerman,Akerman LLP,Akerman LLP,648825,urn:entity:lfm-648825,https://yoda.lexisai.aws.lexis.com/lawfirms/648825,4c52dd56cc956f21c40014dc,CURRENT,,,,,,Include,
AKI5112,Akin Gump,Akin Gump Strauss Hauer & Feld LLP,Akin Gump,Akin Gump,Akin Gump,105581,urn:entity:lfm-105581,https://yoda.lexisai.aws.lexis.com/lawfirms/105581,4c52dd56cc956f21c40014dd,CURRENT,,,,,,Include,
ALB5506,Albertelli Law,Albertelli Law Partners Arkansas PLLC,Albertelli Law,Albertelli Law,Albertelli Law,20897825,urn:entity:lfm-20897825,https://yoda.lexisai.aws.lexis.com/lawfirms/20897825,5266d75bed5068759c00206c,CURRENT,,,,,,Include,
ALD9828,Aldridge Pite,Aldridge Pite LLP,Aldridge Pite,Aldridge Pite,Aldridge Pite,218577,urn:entity:lfm-218577,https://yoda.lexisai.aws.lexis.com/lawfirms/218577,4c52dd56cc956f21c40014e8,CURRENT,,,,,,Include,
ALL8866,Allen Matkins Leck Gamble Mallory & Natsis LLP,Allen Matkins Leck Gamble Mallory & Natsis LLP,Allen Matkins,Allen Matkins,Allen Matkins,93332,urn:entity:lfm-93332,https://yoda.lexisai.aws.lexis.com/lawfirms/93332,4c52dd56cc956f21c40014fc,CURRENT,,,,,,Include,
ALS9443,Alston & Bird,Alston & Bird LLP,Alston & Bird,Alston & Bird,Alston & Bird,293143,urn:entity:lfm-293143,https://yoda.lexisai.aws.lexis.com/lawfirms/293143,4c52dd56cc956f21c4001505,CURRENT,,,,,,Include,
AND2672,Anderson Kill,Anderson Kill PC,Anderson Kill,Anderson Kill,Anderson Kill,293288,urn:entity:lfm-293288,https://yoda.lexisai.aws.lexis.com/lawfirms/293288,4c52dd56cc956f21c4001514,CURRENT,,,,,,Include,
ARC3828,Archer,Archer Law PC,Archer,Archer & Greiner,Archer & Greiner,892552,urn:entity:lfm-892552,https://yoda.lexisai.aws.lexis.com/lawfirms/892552,4c52dd56cc956f21c400152a,CURRENT,,,,,,Include,
ARE7461,Arent Fox,Arent Fox LLP,Arent Fox,ArentFox Schiff,ArentFox Schiff,291901,urn:entity:lfm-291901,https://yoda.lexisai.aws.lexis.com/lawfirms/291901,4c52dd56cc956f21c400152c,CURRENT,,,,,,Include,
ARM1143,Armstrong Teasdale,Armstrong Teasdale LLP,Armstrong Teasdale,Armstrong Teasdale,Armstrong Teasdale,292214,urn:entity:lfm-292214,https://yoda.lexisai.aws.lexis.com/lawfirms/292214,4f3437650cf6a669660013ac,CURRENT,,,,,,Include,
ARN5072,Arnall Golden,Arnall Golden Gregory LLP,Arnall Golden,Arnall Golden,Arnall Golden,712036,urn:entity:lfm-712036,https://yoda.lexisai.aws.lexis.com/lawfirms/712036,4c52dd56cc956f21c4001532,CURRENT,,,,,,Include,
ARN6021,Arnold & Porter,Arnold & Porter,Arnold & Porter,Arnold & Porter,Arnold & Porter,113129,urn:entity:lfm-113129,https://yoda.lexisai.aws.lexis.com/lawfirms/113129,4c52dd56cc956f21c4001535,CURRENT,,,,,,Include,
ATK5057,Atkinson Andelson,Atkinson Andelson Loya Ruud & Romo PLC,Atkinson Andelson,Atkinson Andelson,Atkinson Andelson,72563,urn:entity:lfm-72563,https://yoda.lexisai.aws.lexis.com/lawfirms/72563,4c52dd56cc956f21c4001548,CURRENT,,,,,,Include,
AXI4590,Axinn Veltrop,Axinn Veltrop & Harkrider LLP,Axinn Veltrop,Axinn,Axinn,270835,urn:entity:lfm-270835,https://yoda.lexisai.aws.lexis.com/lawfirms/270835,4c52dd56cc956f21c4001552,CURRENT,,,,,,Include,
BAB1376,Babst Calland,Babst Calland Clements and Zomnir PC,Babst Calland,Babst Calland,Babst Calland,1237175,urn:entity:lfm-1237175,https://yoda.lexisai.aws.lexis.com/lawfirms/1237175,4c52dd56cc956f21c4001558,CURRENT,,,,,,Include,
BAI2244,Baird Holm,Baird Holm LLP,Baird Holm,Baird Holm,Baird Holm,871101,urn:entity:lfm-871101,https://yoda.lexisai.aws.lexis.com/lawfirms/871101,4c52dd56cc956f21c4001569,CURRENT,,,,,,Include,
BAI7420,Bailey & Glasser,Bailey & Glasser LLP,Bailey & Glasser,Bailey & Glasser,Bailey & Glasser,1424553,urn:entity:lfm-1424553,https://yoda.lexisai.aws.lexis.com/lawfirms/1424553,,CURRENT,,,,,,Include,
BAK1239,Baker McKenzie,Baker McKenzie,Baker McKenzie,Baker McKenzie,Baker McKenzie,155663,urn:entity:lfm-155663,https://yoda.lexisai.aws.lexis.com/lawfirms/155663,4c52dd56cc956f21c400156d,CURRENT,,,,,,Include,
BAK2781,BakerHostetler,BakerHostetler,BakerHostetler,BakerHostetler,BakerHostetler,99750,urn:entity:lfm-99750,https://yoda.lexisai.aws.lexis.com/lawfirms/99750,4c52dd56cc956f21c400156c,CURRENT,,,,,,Include,
BAK4926,Baker Donelson,Baker Donelson Bearman Caldwell & Berkowitz PC,Baker Donelson,Baker Donelson,Baker Donelson,307399,urn:entity:lfm-307399,https://yoda.lexisai.aws.lexis.com/lawfirms/307399,4c52dd56cc956f21c4001570,CURRENT,,,,,,Include,
BAK9080,Baker Botts,Baker Botts LLP,Baker Botts,Baker Botts,Baker Botts,294446,urn:entity:lfm-294446,https://yoda.lexisai.aws.lexis.com/lawfirms/294446,4c52dd56cc956f21c400156e,CURRENT,,,,,,Include,
BAL2806,Balch & Bingham,Balch & Bingham LLP,Balch & Bingham,Balch & Bingham,Balch & Bingham,20864,urn:entity:lfm-20864,https://yoda.lexisai.aws.lexis.com/lawfirms/20864,4c52dd56cc956f21c4001576,CURRENT,,,,,,Include,
BAL3730,Ballard Spahr,Ballard Spahr LLP,Ballard Spahr,Ballard Spahr,Ballard Spahr,249955,urn:entity:lfm-249955,https://yoda.lexisai.aws.lexis.com/lawfirms/249955,4c52dd56cc956f21c400157e,CURRENT,,,,,,Include,
BAN2220,Banner Witcoff,Banner Witcoff,Banner Witcoff,Banner Witcoff,Banner Witcoff,312686,urn:entity:lfm-312686,https://yoda.lexisai.aws.lexis.com/lawfirms/312686,4c52dd56cc956f21c4001585,CURRENT,,,,,,Include,
BAN6759,Banker Lopez,Banker Lopez Gassler PA,Banker Lopez,Banker Lopez,Banker Lopez,16238240,urn:entity:lfm-16238240,https://yoda.lexisai.aws.lexis.com/lawfirms/16238240,4c52dd56cc956f21c4001583,CURRENT,,,,,,Include,
BAR2845,Baron & Budd,Baron & Budd PC,Baron & Budd,Baron & Budd,Baron & Budd,373168,urn:entity:lfm-373168,https://yoda.lexisai.aws.lexis.com/lawfirms/373168,4c52dd56cc956f21c4001598,CURRENT,,,,,,Include,
BAR4445,Bartlit Beck,Bartlit Beck LLP,Bartlit Beck,Bartlit Beck,Bartlit Beck,248501,urn:entity:lfm-248501,https://yoda.lexisai.aws.lexis.com/lawfirms/248501,4c52dd56cc956f21c40015ae,CURRENT,,,,,,Include,
BAR4629,Barclay Damon,Barclay Damon LLP,Barclay Damon,Barclay Damon,Barclay Damon,326555,urn:entity:lfm-326555,https://yoda.lexisai.aws.lexis.com/lawfirms/326555,4c52dd5acc956f21c4001cd5,CURRENT,,,,,,Include,
BAR6817,Barley Snyder,Barley Snyder,Barley Snyder,Barley Snyder,Barley Snyder,1217962,urn:entity:lfm-1217962,https://yoda.lexisai.aws.lexis.com/lawfirms/1217962,4c52dd56cc956f21c4001591,CURRENT,,,,,,Include,
BAR7190,Barnes & Thornburg,Barnes & Thornburg LLP,Barnes & Thornburg,Barnes & Thornburg,Barnes & Thornburg,294912,urn:entity:lfm-294912,https://yoda.lexisai.aws.lexis.com/lawfirms/294912,4c52dd56cc956f21c4001593,CURRENT,,,,,,Include,
BAR8545,Barack Ferrazzano,Barack Ferrazzano Kirschbaum & Nagelberg LLP,Barack Ferrazzano,Barack Ferrazzano,Barack Ferrazzano,754873,urn:entity:lfm-754873,https://yoda.lexisai.aws.lexis.com/lawfirms/754873,4c52dd56cc956f21c4001587,CURRENT,,,,,,Include,
BAS4068,Bass Berry,Bass Berry & Sims PLC,Bass Berry,Bass Berry,Bass Berry,1113604,urn:entity:lfm-1113604,https://yoda.lexisai.aws.lexis.com/lawfirms/1113604,4c52dd56cc956f21c40015b2,CURRENT,,,,,,Include,
BAT7454,BatesCarey,BatesCarey LLP,BatesCarey,BatesCarey LLP,BatesCarey LLP,749568,urn:entity:lfm-749568,https://yoda.lexisai.aws.lexis.com/lawfirms/749568,,CURRENT,,,,,,Include,
BEC7366,Becker,Becker & Poliakoff PA,Becker & Poliakoff,Becker & Poliakoff,Becker & Poliakoff,643149,urn:entity:lfm-643149,https://yoda.lexisai.aws.lexis.com/lawfirms/643149,4c52dd56cc956f21c40015d1,CURRENT,,,,,,Include,
BEN7459,Bennett Bricklin,Bennett Bricklin & Saltzburg LLC,Bennett Bricklin,Bennett Bricklin,Bennett Bricklin,899781,urn:entity:lfm-899781,https://yoda.lexisai.aws.lexis.com/lawfirms/899781,4c52dd57cc956f21c40015f2,CURRENT,,,,,,Include,
BEN8652,Benesch Friedlander,Benesch Friedlander Coplan & Aronoff,Benesch,Benesch Friedlander,Benesch Friedlander,1152168,urn:entity:lfm-1152168,https://yoda.lexisai.aws.lexis.com/lawfirms/1152168,4c52dd57cc956f21c40015ef,CURRENT,,,,,,Include,
BER3807,Berry Appleman,Berry Appleman & Leiden LLP,Berry Appleman,Berry Appleman,Berry Appleman,192730,urn:entity:lfm-192730,https://yoda.lexisai.aws.lexis.com/lawfirms/192730,4c52dd57cc956f21c4001618,CURRENT,,,,,,Include,
BER3887,Berger Singerman,Berger Singerman LLP,Berger Singerman,Berger Singerman,Berger Singerman,650441,urn:entity:lfm-650441,https://yoda.lexisai.aws.lexis.com/lawfirms/650441,4c52dd57cc956f21c4001601,CURRENT,,,,,,Include,
BER5120,Bernstein Shur Sawyer & Nelson PA,Bernstein Shur Sawyer & Nelson PA,Bernstein Shur,Bernstein Shur,Bernstein Shur,511016,urn:entity:lfm-511016,https://yoda.lexisai.aws.lexis.com/lawfirms/511016,4c52dd57cc956f21c4001616,CURRENT,,,,,,Include,
BES8682,Best Best,Best Best & Krieger LLP,Best Best & Krieger,Best Best & Krieger,Best Best & Krieger,151937,urn:entity:lfm-151937,https://yoda.lexisai.aws.lexis.com/lawfirms/151937,4c52dd57cc956f21c4001621,CURRENT,,,,,,Include,
BEV9296,Beveridge & Diamond,Beveridge & Diamond PC,Beveridge & Diamond,Beveridge & Diamond,Beveridge & Diamond,204642,urn:entity:lfm-204642,https://yoda.lexisai.aws.lexis.com/lawfirms/204642,4c52dd57cc956f21c4001627,CURRENT,,,,,,Include,
BIL9589,Bilzin Sumberg,Bilzin Sumberg Baena Price & Axelrod LLP,Bilzin Sumberg,Bilzin Sumberg,Bilzin Sumberg,666073,urn:entity:lfm-666073,https://yoda.lexisai.aws.lexis.com/lawfirms/666073,4c52dd57cc956f21c4001636,CURRENT,,,,,,Include,
BLA6224,Blank Rome,Blank Rome LLP,Blank Rome,Blank Rome,Blank Rome,286744,urn:entity:lfm-286744,https://yoda.lexisai.aws.lexis.com/lawfirms/286744,4c52dd57cc956f21c400164f,CURRENT,,,,,,Include,
BOD8933,Bodman,Bodman PLC,Bodman,Bodman PLC,Bodman PLC,586146,urn:entity:lfm-586146,https://yoda.lexisai.aws.lexis.com/lawfirms/586146,4c52dd57cc956f21c4001669,CURRENT,,,,,,Include,
BOI8535,Boies Schiller,Boies Schiller Flexner LLP,Boies Schiller,Boies Schiller,Boies Schiller,309470,urn:entity:lfm-309470,https://yoda.lexisai.aws.lexis.com/lawfirms/309470,4c52dd57cc956f21c4001670,CURRENT,,,,,,Include,
BON2894,Bond Schoeneck,Bond Schoeneck & King PLLC,Bond Schoeneck,Bond Schoeneck,Bond Schoeneck,325164,urn:entity:lfm-325164,https://yoda.lexisai.aws.lexis.com/lawfirms/325164,4c52dd57cc956f21c4001673,CURRENT,,,,,,Include,
BOO1724,Bookoff McAndrews,Bookoff McAndrews PLLC,Bookoff McAndrews,Bookoff McAndrews,Bookoff McAndrews,157655213,urn:entity:lfm-157655213,https://yoda.lexisai.aws.lexis.com/lawfirms/157655213,,CURRENT,,,,,,Include,
BOS3981,Bose McKinney,Bose McKinney & Evans LLP,Bose McKinney,Bose McKinney,Bose McKinney,810594,urn:entity:lfm-810594,https://yoda.lexisai.aws.lexis.com/lawfirms/810594,4c52dd57cc956f21c4001681,CURRENT,,,,,,Include,
BOW1528,Bowman and Brooke,Bowman and Brooke LLP,Bowman and Brooke,Bowman and Brooke,Bowman and Brooke,41588,urn:entity:lfm-41588,https://yoda.lexisai.aws.lexis.com/lawfirms/41588,4c52dd57cc956f21c4001693,CURRENT,,,,,,Include,
BOW5564,Bowles Rice,Bowles Rice LLP,Bowles Rice,Bowles Rice,Bowles Rice,289938,urn:entity:lfm-289938,https://yoda.lexisai.aws.lexis.com/lawfirms/289938,4c52dd57cc956f21c4001692,CURRENT,,,,,,Include,
BRA4003,Bradford & Barthel,Bradford & Barthel LLP,Bradford & Barthel,Bradford & Barthel,Bradford & Barthel,84157,urn:entity:lfm-84157,https://yoda.lexisai.aws.lexis.com/lawfirms/84157,517597d6741a780e56003179,CURRENT,,,,,,Include,
BRA4425,Bradley Arant,Bradley Arant Boult Cummings LLP,Bradley Arant,Bradley Arant,Bradley Arant,21278,urn:entity:lfm-21278,https://yoda.lexisai.aws.lexis.com/lawfirms/21278,4c52dd57cc956f21c40016a4,CURRENT,,,,,,Include,
BRA5493,Brach Eichler,Brach Eichler LLC,Brach Eichler,Brach Eichler,Brach Eichler,27825330,urn:entity:lfm-27825330,https://yoda.lexisai.aws.lexis.com/lawfirms/27825330,4c52dd57cc956f21c400169f,CURRENT,,,,,,Include,
BRA9882,Bracewell,Bracewell LLP,Bracewell,Bracewell LLP,Bracewell LLP,295827,urn:entity:lfm-295827,https://yoda.lexisai.aws.lexis.com/lawfirms/295827,4c52dd57cc956f21c400169e,CURRENT,,,,,,Include,
BRE3693,Bressler Amery,Bressler Amery & Ross PC,Bressler Amery,Bressler Amery,Bressler Amery,384617,urn:entity:lfm-384617,https://yoda.lexisai.aws.lexis.com/lawfirms/384617,4c52dd57cc956f21c40016bf,CURRENT,,,,,,Include,
BRE4030,Bremer Whyte,Bremer Whyte Brown & O'Meara LLP,Bremer Whyte,Bremer Whyte,Bremer Whyte,127030,urn:entity:lfm-127030,https://yoda.lexisai.aws.lexis.com/lawfirms/127030,4c52dd57cc956f21c40016b9,CURRENT,,,,,,Include,
BRI1078,Bricker & Eckler,Bricker & Eckler LLP,Bricker & Eckler,Bricker & Eckler,Bricker & Eckler,1112578,urn:entity:lfm-1112578,https://yoda.lexisai.aws.lexis.com/lawfirms/1112578,4c52dd57cc956f21c40016c4,CURRENT,,,,,,Include,
BRO1848,Brouse & McDowell,Brouse McDowell LPA,Brouse McDowell,Brouse McDowell,Brouse McDowell,1138856,urn:entity:lfm-1138856,https://yoda.lexisai.aws.lexis.com/lawfirms/1138856,4c52dd57cc956f21c40016df,CURRENT,,,,,,Include,
BRO3291,Brooks Kushman,Brooks Kushman PC,Brooks Kushman,Brooks Kushman,Brooks Kushman,585646,urn:entity:lfm-585646,https://yoda.lexisai.aws.lexis.com/lawfirms/585646,4c52dd57cc956f21c40016da,CURRENT,,,,,,Include,
BRO3683,Brooks Pierce,Brooks Pierce McLendon Humphrey & Leonard LLP,Brooks Pierce,Brooks Pierce,Brooks Pierce,1124495,urn:entity:lfm-1124495,https://yoda.lexisai.aws.lexis.com/lawfirms/1124495,4c52dd57cc956f21c40016db,CURRENT,,,,,,Include,
BRO4730,Brownstein Hyatt,Brownstein Hyatt Farber Schreck LLP,Brownstein Hyatt,Brownstein Hyatt,Brownstein Hyatt,250295,urn:entity:lfm-250295,https://yoda.lexisai.aws.lexis.com/lawfirms/250295,4c52dd57cc956f21c40016f9,CURRENT,,,,,,Include,
BRO6136,Brown Rudnick,Brown Rudnick LLP,Brown Rudnick,Brown Rudnick,Brown Rudnick,271112,urn:entity:lfm-271112,https://yoda.lexisai.aws.lexis.com/lawfirms/271112,4c52dd57cc956f21c40016f2,CURRENT,,,,,,Include,
BRO7094,Brock & Scott,Brock & Scott PLLC,Brock & Scott,Brock & Scott,Brock & Scott,1717982,urn:entity:lfm-1717982,https://yoda.lexisai.aws.lexis.com/lawfirms/1717982,52938487b0b7b6465300ca73,CURRENT,,,,,,Include,
BRO9353,Brown & James,Brown & James Law Firm PC,Brown & James,Brown & James,Brown & James,746431,urn:entity:lfm-746431,https://yoda.lexisai.aws.lexis.com/lawfirms/746431,4c52dd57cc956f21c40016e4,CURRENT,,,,,,Include,
BRY4196,Bryan Cave,Bryan Cave Leighton Paisner LLP,Bryan Cave Leighton Paisner,Bryan Cave Leighton Paisner,Bryan Cave Leighton Paisner,39372,urn:entity:lfm-39372,https://yoda.lexisai.aws.lexis.com/lawfirms/39372,4c52dd57cc956f21c4001700,CURRENT,,,,,,Include,
BUC3095,Buchalter,Buchalter PC,Buchalter,Buchalter APC,Buchalter APC,92341,urn:entity:lfm-92341,https://yoda.lexisai.aws.lexis.com/lawfirms/92341,4c52dd57cc956f21c400170b,CURRENT,,,,,,Include,
BUC4341,Buchanan Ingersoll,Buchanan Ingersoll & Rooney PC,Buchanan Ingersoll,Buchanan Ingersoll,Buchanan Ingersoll,293073,urn:entity:lfm-293073,https://yoda.lexisai.aws.lexis.com/lawfirms/293073,4c52dd57cc956f21c400170c,CURRENT,,,,,,Include,
BUC5248,Buckley Sandler,Buckley LLP,Buckley,Buckley LLP,Buckley LLP,2058420,urn:entity:lfm-2058420,https://yoda.lexisai.aws.lexis.com/lawfirms/2058420,4c52dd57cc956f21c4001710,CURRENT,,,,,,Include,
BUR4586,Burke Warren,Burke Warren MacKay & Serritella PC,Burke Warren,Burke Warren,Burke Warren,756535,urn:entity:lfm-756535,https://yoda.lexisai.aws.lexis.com/lawfirms/756535,4c52dd57cc956f21c4001728,CURRENT,,,,,,Include,
BUR5317,Burke Williams,Burke Williams & Sorensen LLP,Burke Williams,Burke Williams,Burke Williams,70750,urn:entity:lfm-70750,https://yoda.lexisai.aws.lexis.com/lawfirms/70750,4c52dd57cc956f21c4001729,CURRENT,,,,,,Include,
